start	end	text
487000	488000	Просто вылетело слово склероз.
488000	489000	Я прошу прощения.
489000	490000	В общем, название нашей дисциплины, они там потом
490000	491000	откроются.
491000	492000	В общем, название нашей дисциплины обновленное,
492000	493000	в соответствии...
493000	494000	План.
494000	495000	План.
495000	496000	Как же называется?
496000	497000	План дисциплины, что ли?
497000	498000	План.
498000	499000	Общий план.
499000	500000	В общем, мы нажимаем на соответствующую графу.
500000	501940	И все начинает обновляться.
501940	502940	Вот.
502940	504680	И потом появляются эти компетенции, и все такое.
504680	507200	В общем, дальше мы работаем просто по списку замечаний
507200	508200	и исправлений.
508200	509200	Мы увидим.
509200	511580	Значит, замечание такое, замечание, знаете, будет
511580	512920	список, будет список замечаний.
512920	516020	И мы будем просто последовательно их исправлять.
516020	517020	С.
517020	518020	С.
518020	519020	Сценарий.
519020	520020	Вот.
520020	521060	Можно мы с ценой вводить.
521060	522060	Нет?
522060	523060	Нет?
523060	524060	С.
524060	525060	С.
525060	526060	С.
526060	527060	Сценарий.
527060	528060	С.
528060	529060	С.
529060	530000	Сценарий.
530000	532940	Владимир Владимирович, мы будем первыми в очереди. Я седлю слева, а вы справа.
532940	535320	Коллеги, когда скатитесь, я просто вам напеваю.
535340	536220	Да, да, да.
536680	538400	Кто слева будет правым?
539000	540100	Я хочу быть права.
540120	542240	Коллеги, не могу вам не рассказать.
542320	547180	Вчера я отправляю статью в журнал под названием «Филология. Научные исследования».
547180	547840	Они пишут.
548480	556000	Уважаемый автор, предупреждаем вас, что при размещении статьи внедрена система искусственного интеллекта.
556000	561100	Дмитрий Павлович, вы зря смеетесь.
561200	568000	Там написано «в соответствии с указом какого-то там президента, положением приказа министерства».
568000	570820	Это не новшество этого журнала.
570880	571740	Можно перебью?
572260	573480	Ваковский журнал?
573640	574360	Ваковский журнал.
574380	574640	Вот.
575500	577220	Нет, это при размещении статьи.
577260	577720	Я понял.
577720	579300	Вы видите, это следующим образом.
579420	580560	Я загружаю аннотацию.
581500	585180	Аннотация загружается четырьмя частями.
585180	588680	Сначала нужно загрузить предмет, объект, исследование.
589520	593180	Затем внутри аннотации результаты.
593320	595140	Затем методология и выводы.
595760	599720	И оно как бы конвертируется в общий абзац.
600200	603580	Дальше, перед тем, как нажать кнопку «Отправиться», вылезает искусственный интеллект.
604000	604980	И тебе говорит.
605780	613180	Уважаемый автор, вот тут у вас всё хорошо, но было бы неплохо, если бы...
613180	614260	И дальше по пунктам.
614480	615180	Значит, чего есть.
615180	615680	Если бы.
617160	619640	Более чётко там обозначить это.
620420	622620	Более чётко прописать методологию.
622760	623600	Там, тра-ля-ля-ля-ля.
623820	626560	Я нажимаю кнопку «Отправить».
626560	627000	Он мне.
627920	629440	Просьба исправить замечание.
630920	632040	Причём, а сверху написано.
632060	632820	Разговаривание пишет.
632820	634860	Вы можете отправить, пока вы не исправились.
635500	636140	Сверху написано.
636180	639240	Вы можете принять или отклонить пожелания искусственного интеллекта.
639560	640180	Но если отклоните...
641220	642560	А там нет кнопки «Отклонить».
642560	643180	Он реагирует.
643180	644240	Он реагирует.
644240	644740	Когда...
644740	645520	Хочешь сделать...
645520	646380	Три раза нужно.
646520	647540	Три или четыре раза.
648000	648360	Да, ну...
648360	650800	То есть ты нажимаешь опять «Отправить», он тебе опять замечание.
651160	651560	Интеллект.
652120	653820	Ты ему опять отправить, он тебе опять замечание.
653900	655400	То есть с четвёртого раза только.
655700	656360	Или на экстракт.
656420	657480	Ну, с той, чем ты попоишь.
657520	658140	Вот это вот.
658260	658760	Он только...
658760	661520	То есть вы не вносили изменений согласно пожеланиям.
661520	664120	Я сначала начала вносить, потом я поняла, что это полный бред.
664220	664820	Ага, вы уже...
664820	665820	Он будет бесконечно...
665820	667640	Да, он будет бесконечно требовать обновления.
667640	669600	Он будет бесконечно требовать чего-то нового.
669600	675380	То есть в итоге он мне говорит, было бы неплохо, если бы вы название рубрик внесли внутрь аннотации.
675540	676200	Было бы неплохо, но заткнулось.
676200	676820	Получается бред.
677400	683100	Получается, что я пишу «Предмет и объект исследования. Точка».
683100	683460	Дальше.
683840	685600	«Предметом и объектом там выступают».
687180	689100	То есть пришлось удалять потом ещё раз.
689220	690160	Возвращаться, удалять.
690940	695980	Поэтому я думаю, вот лучше бы они, извините, вот программу бы искусственную интеллекту применили.
696560	697920	Вот это было бы самое оно.
697920	698740	Самое новое.
699240	699580	Самое новое.
699580	699600	Самое новое.
699600	702260	Это самая, да, такая...
702260	704500	Так это, я думаю, мы сами можем через G5...
704500	711080	Нет, просто по последней информации, вот это G5 – это какая-то масштабная диверсия.
711160	712080	Программа уже все есть.
712280	712840	Вот.
713180	715260	Причём около криминального характера.
715360	728520	Просто я по G5, последняя информация, которая мне попалась по моим каналам, это как бы глобальная сеть выяснения всей прайвеси.
728520	730680	По каждому человеку.
731500	737480	Это важного американского дядьку, забыл его фамилию, он директор чего-то там, почти земного шара.
738180	743080	Его на этом поймали, хакнули, и он висел на крючке шантажа.
743080	748300	На основании его запросов, которые он в быту вот так вот...
748300	749800	Ну, всем лень думать-то.
751380	754080	Туда и на основании запросов там...
754560	755140	Досье.
755460	756760	Совершенно верно.
758520	775300	Ирина, вы сделали гениально, как мой муж, когда звонит в какие-то всякие структуры, ему надо, допустим, что-то там в банке обсудить, или куда-то он звонил, какие-то были проблемы с показанием счётчиков.
775540	778660	Вопрос с обновлением билетов взяли чпак и штамат.
778660	780540	Вы знаете, в чём эти две проблемы?
780540	781680	Там две проблемы, коллеги.
781760	787500	То, что мы сейчас будем делать, это эти программы на этот учебный год.
788040	788500	А нам ещё...
788520	794280	Посредством, вы знаете, вот мы сделаем сейчас эти программы, они будут относиться к этому году.
794660	800940	Но потом мы их скопируем, сделаем так, как надо, они их проверят, скажут, какие мы молодцы.
801260	804240	После этого мы их просто скопируем и изменим год.
804400	806080	А его просто придумают другое.
807360	809260	Я здесь нашей профессией там...
809260	814460	Нет-нет-нет, там просто мы изменим год, и это будут уже...
814460	816800	Ну, просто чисто техническая работа.
816800	818500	Нужно потратить время.
818520	820920	Просто копирование и внесение изменений.
821760	824580	Ну, если копировать, так же просто, как в городе.
824720	826380	Просто всё это скопируем и всё.
826900	828200	Это уже будет на следующий год.
830420	831180	Ну, в общем, за год.
831440	834700	Нам копирайтера надо нанимать, чтобы он это менял.
835680	838360	Для этого и создан искусственный интеллект.
838660	839420	Где он?
839880	840760	Коллеги, не отвлекаемся.
840880	841940	Очень тур Олимпиады.
842080	842740	5 апреля.
844080	845100	Это суббота.
846260	847440	Время, очевидно, это час.
847440	848140	Только что звонил.
848520	852500	Дядька, чей сын прошёл, пытается зарегистрироваться.
853040	854420	Но я ему сказала, что я фамилию не спрашивала.
854460	856500	Я ему сказала, что не надо регистрироваться, мы же письмо разослали.
856880	858420	Он говорит, разослали, получили.
858540	859500	Я говорю, что-то звонить.
860880	861840	Но я так не сказала.
862620	867260	Но он сказал, я уточню у сына, что вот он прошёл, набрал 24-26 баллов, ну, соответственно, он прошёл.
867340	867860	Это сын.
868080	870400	Это вот этот, который из Минздрава, я так полагаю.
871200	871940	У нас есть...
871940	875340	Ну, когда я ему всё разъяснила, он мне сказал, а, вот оно, Чуникалович повесил.
876400	877960	Я не знаю, откуда он.
878520	882680	Прямо так и сказал?
882920	885760	У нас есть один участник, у которого родители работают в Минздраве.
885820	890120	Но он прошёл первый тур, там как бы, ну, сам проходил, мы к нему отношения не имели никак.
890600	891620	Ну, видимо, кто-то поможет.
891800	892940	Ай, сори, подождите.
893860	895740	Вот, и мне вело за ним наблюдать.
896200	897200	Алло, алло.
902960	905300	Так, короче говоря, 5 апреля, час дня.
908520	910000	Ну, опять она ушла.
910080	910640	Куда же она ушла?
910720	913380	Наверное, будет рассылку должна сделать 29-30 марта.
913700	914020	Ждём.
914380	915880	29-30 марта?
916240	925860	Сделать рассылку детям с приглашением их, чтобы они не забыли, мы за неделю до мероприятия напоминаем им о том, что они должны прийти к нам на Олимпиаду.
925900	927280	И 49 человек в этом году.
927400	928300	А кто должен делать?
928860	929500	Марина Викторовна.
929500	930180	Марина Викторовна.
930760	931200	Много.
931440	931800	Много.
931800	932040	Много.
933600	937800	Марина Викторовна, значит, зафиксируйте, что 29-30 марта за неделю...
938520	944780	В начале Олимпиады мы должны сделать повторную рассылку детям с напоминанием и указанием времени.
944940	946600	Ну, последнее рассылка забыла время.
946620	948900	Мы не забыли, мы не указали на месяц.
948920	949400	Забыли.
950000	951380	Час дня в 13.00.
951580	952700	Так, 13.00.
953420	956580	Да, и у нас, к счастью, в этот день нет открытых дверей.
956580	958920	13.00, 5 апреля, начало.
959040	959960	Подумаем, подумаем.
960260	962640	Эрина Викторовна, подождите, 13.00, 5 апреля, начало.
962640	967640	Так, подождите, мы должны подумать, потому что в этот день будут двери в пироговке.
967640	970920	Они могут попереться все туда, вместо к нам на ДПР.
970980	972640	Давайте сделаем в 3.00.
973260	974480	Начало в 3.00.
975040	975980	Не в 13.00, а в 3.00.
976880	978500	С утра нет открытых дверей.
979340	980360	Ну, 2.00 можно сделать.
980700	981720	Ну, это уж 3.00.
983180	984320	А может, на другой день?
984940	986460	Нет, ну уже другой день мы не можем.
986580	986960	2.00.
988000	988560	14.00.
988640	990260	Ну, они с 10.00, я на 2.00 с 10.00.
992260	992900	14.00.
993580	994260	14.00.
994260	997260	Так, 5 апреля.
997640	1000460	Какое, сколько времени они пишут, дальше что мы делаем?
1001280	1003420	Значит, они пишут, могут писать 3 часа.
1004600	1006900	Могут писать 3 часа, с 3.00 до 6.00.
1008080	1008860	2.00 до 6.00.
1008860	1010480	Но обычно они встают раньше.
1011520	1012120	Так с 2.00 или с 5.00?
1012120	1014280	С 3.00 до 5.00, да, с 2.00 до 5.00, да.
1014500	1015740	3 часа с 2.00 до 5.00.
1016300	1016600	Так.
1017700	1021700	Вот, мы должны обеспечить присутствие в каждом твитторе двух консультантов.
1022080	1025020	Дальше мы проверяем в тот же день, чтобы день вспомнился?
1025020	1026460	Нет, не в тот же.
1027280	1027460	То есть, по-моему, это не так.
1027460	1027480	То есть, по-моему, это не так.
1027480	1028680	То есть, после 5.00 все свободны?
1028760	1030000	После 5.00 все свободны.
1030200	1030460	Так.
1030840	1031440	Проверяем когда?
1031580	1033040	Дальше проверяем в течение 3 дней.
1033160	1036960	В прошлом году проверяла Вера Владимировна все работы, чтобы был одинаковый подход.
1037120	1038440	Берем с собой и проверяем.
1038500	1038660	Да.
1038820	1039880	Мы забираем работы.
1041200	1042680	Значит, кто должен быть у нас?
1043680	1048620	Те, кто работают на ПО, то есть Дмитрий Павлович и Вера Владимировна точно.
1049560	1055240	Марина Викторовна, как куратор Олимпиады, и я, как, так сказать, представитель организатора.
1055800	1057120	И Татьяна Владимировна.
1057120	1060140	Потому что она входит у нас в оргкомитет.
1060600	1062140	Она за декана.
1063940	1065080	Фанатный генерал.
1065580	1065740	Да.
1067080	1067640	Вот.
1067720	1074960	От ПО еще должна быть Анастасия Николаевна, которая заместитель.
1076500	1079060	Но Мария Сергеевна на биолога ей не обязательно быть.
1080680	1082360	Так, кто еще должен быть у нас?
1082820	1084660	Ну, можно посмотреть, вообще, сколько там будет народу.
1085180	1085940	Может быть, если их предотвратят.
1085940	1086720	По прошлому году?
1086720	1090740	Если 49 человек мы сделаем рассылку, может прийти до 40 человек.
1091160	1092080	То есть это две аудитории.
1094260	1095660	В прошлом году две было.
1095880	1096740	За 4 человека.
1097480	1100720	Должно быть в каждой аудитории сидеть минимум 2 человека.
1103380	1106200	Максимум мы сейчас считаем, сколько людей нужно позвать вообще, в принципе.
1106620	1107620	Если у нас получается...
1107620	1109180	Ну, рассчитываем, что все 50 придут.
1109280	1110160	Мы предположим, все 48.
1110460	1111040	То есть нас предоставят.
1111040	1113560	Мы уже отдали включать сертификат и тему.
1114200	1115640	То есть, получается, нас надо собрать еще.
1115640	1116120	Соберем.
1116720	1118360	А также результаты у нас будут.
1118360	1119160	Большое спасибо.
1119540	1120180	Это когда?
1122740	1123860	Коллеги, подождите.
1124860	1126100	8 апреля, да?
1126660	1128540	8 апреля театр Цельсказм.
1129140	1132360	Я 8 апреля буду отсутствовать.
1132720	1134300	Поэтому будете без меня.
1134540	1135960	А мы идем все вместе туда?
1136180	1136780	Вместо занятий?
1136980	1138200	Зачем нам выйти?
1139660	1140020	Ну да.
1140660	1141760	Пойдут те, кого награждают.
1141760	1143880	Если, например, 8 апреля рабочие деньги.
1143880	1144460	А, понятно.
1144460	1146640	Скорее всего, будет приказ ректора о том,
1146720	1148720	чтобы все там были.
1148720	1150220	Ну ладно, началось.
1150220	1152220	Это не для студентов мероприятие.
1152220	1154220	Это мероприятие для взрослых.
1154220	1154720	Для ВПС.
1154720	1156720	А во сколько там?
1156720	1158720	Я думаю, что не раньше, чем в час.
1158720	1160720	Хорошо, не позже.
1160720	1162720	А где опять театр Цельсказм?
1162720	1164720	Бедные кибернетики.
1164720	1166720	Так, 12 апреля.
1166720	1168720	Создается день открытых дверей.
1168720	1170720	Он пройдет в Сити.
1170720	1172720	В Сити.
1172720	1174720	Что это такое Сити?
1174720	1176720	Вот это Москва-Сити.
1176720	1178720	Давай Москва.
1178720	1180720	Я вам сейчас скажу, где он пройдет.
1180720	1182720	Торчит.
1182720	1184720	Синезупова раньше звали.
1184720	1186720	Блютуз.
1186720	1188720	Нет, это другое.
1190720	1192720	Сейчас.
1192720	1194720	Я вам скажу, где он будет находиться.
1194720	1196720	Мага домашняя.
1196720	1198720	Я кафедральную не тратила на эту ерунду.
1198720	1200720	Не переживайте.
1202720	1204720	А мы тут уже прям переживать начали.
1206720	1208720	Нет, я третий раз отношусь к нашей кафедральной магии.
1208720	1210720	Магия вечная.
1210720	1212720	Не надо третий раз.
1212720	1214720	Берете смело и каждый раз.
1214720	1218720	Так, сейчас я коллеги найду, где там будет проходить.
1218720	1220720	Москва-Сити.
1220720	1222720	Кристалл...
1222720	1224720	Кристалл Балрум.
1224720	1226720	Кристалл что?
1226720	1228720	Балрум какой-то.
1228720	1230720	Балрум.
1230720	1232720	Это зал.
1232720	1234720	Какая-то шарообразная комната.
1234720	1236720	Тогда я не знаю, что это.
1236720	1238720	Балрум, Балрум, Балрум.
1238720	1240720	Если бы с двумя, то был бы больной зал.
1240720	1246720	Когда последний раз в жизни, перед этим я получил почетную грамоту.
1246720	1248720	В школе?
1248720	1250720	Во втором классе.
1250720	1252720	А я в школе.
1254720	1256720	Ну, короче говоря...
1256720	1258720	Деньги потратишь, а грамоты это на всю жизнь.
1258720	1260720	В общем, адрес у заведения есть?
1260720	1262720	Пока детальной информации нет.
1262720	1264720	Но, опять-таки,
1264720	1268720	как кафедры, мы там вряд ли должны быть все.
1268720	1270720	А вот как представители ПО,
1270720	1272720	очевидно, должны быть.
1272720	1274720	То есть, Марина Викторовна туда дальше пойдет.
1276720	1278720	Ну, вы не заинтересовались,
1278720	1280720	Пэлэс это или нет.
1282720	1284720	То ли Пэлэс, то ли Бомба в каблуках.
1284720	1286720	Там фуршет.
1286720	1288720	А, мне уже обещали на хоккей фуршет.
1288720	1290720	Дорожок только.
1292720	1294720	Я, кстати, про это не знала.
1294720	1296720	Коллега с английской кафедры
1296720	1298720	встретились,
1298720	1300720	он гордо сказал,
1300720	1302720	я вот пирожок съел.
1302720	1304720	Да я же вам сказала, Дмитрий Павлович.
1304720	1306720	Это потом.
1306720	1308720	А что там с пирожком?
1308720	1310720	Давали бесплатный пирожок.
1310720	1312720	А мы не знаем.
1312720	1314720	Это где давали?
1314720	1316720	На хоккей.
1316720	1318720	Для тех, кто досидел до конца, наверное.
1318720	1320720	Нет.
1320720	1322720	Это перед началом давали бесплатный чай,
1322720	1324720	бесплатный пирожок.
1324720	1326720	Мы были, но до пирожка мы не дошли.
1326720	1328720	Так не было же указателя.
1328720	1330720	Бесплатные пирожки.
1330720	1332720	Надо общаться с людьми.
1332720	1334720	Так я вроде с коллегами общалась.
1334720	1336720	Или это не считается?
1336720	1338720	Давайте не расслабляемся.
1338720	1340720	Мы должны Татьяне Валерьевне
1340720	1342720	в силу помогать.
1342720	1344720	Татьяна Валерьевна, ухватите процессом,
1344720	1346720	составляйте расписание, когда, кому, чего делать.
1346720	1348720	Все.
1348720	1350720	Инструктаж одного научили,
1350720	1352720	и дальше генетический прогресс.
1352720	1354720	Следующий научил друг друга.
1354720	1356720	Нет, нет, нет.
1356720	1358720	Это получится,
1358720	1360720	как с рукописной традицией.
1360720	1362720	Апперации будут кратно увеличиваться.
1362720	1364720	А ошибки умножаться.
1364720	1366720	Конечно.
1366720	1368720	Коллеги, я в вашем распоряжении.
1368720	1370720	Вы мне напишите,
1370720	1372720	может, в какие-то дни вам бежать.
1372720	1374720	А мы пирожок принесем.
1374720	1376720	И чай.
1376720	1378720	Конечно.
1378720	1380720	Потому что я,
1380720	1382720	как тот глуповский городоначальник,
1382720	1384720	который помер,
1384720	1386720	получив очередной
1386720	1388720	сенатский указ обширный,
1388720	1390720	понять содержание которого не надеялся.
1390720	1392720	Вот сейчас я вот так же вот смотрю,
1392720	1394720	на Василию Ивановича.
1394720	1396720	Я как тут?
1396720	1398720	А я с ужасом вспоминаю
1398720	1400720	свою беготню к этому Никите Андреевичу.
1400720	1402720	Или как там?
1402720	1404720	Да, мы ходили туда-туда.
1404720	1406720	Сначала мы ходили в Каринке.
1406720	1408720	Это я без меня.
1408720	1410720	Коллеги, вот лекцию Никиты Андреевича
1410720	1412720	вам как раз и вышли.
1412720	1414720	Никита Андреевич был такой молодой.
1414720	1416720	Веселый.
1416720	1418720	Орленка такая была.
1418720	1420720	Такой с экономического факультета.
1420720	1422720	Вы его еще не застали.
1422720	1424720	Вспомню этот июнь.
1424720	1426720	Нет, он хороший, но...
1426720	1428720	Вспотевший ППС,
1428720	1430720	профессоры настоящие,
1430720	1432720	мокрые, коридоры.
1432720	1434720	С полдевятого.
1434720	1436720	Где сейчас такое увидишь?
1436720	1438720	Только вроде твоя очередь подошла,
1438720	1440720	а там еще пять кафедр под баллон.
1440720	1442720	Громадные вещи.
1442720	1444720	Я здесь занимал.
1444720	1446720	У вас тут не стояло.
1446720	1448720	Да, да, да.
1448720	1450720	А сидеть-то не на чем.
1450720	1452720	И вот.
1452720	1454720	Знаете, а я до сих пор помню,
1454720	1456720	это был, знаете,
1456720	1458720	Ильинский чудный день.
1458720	1460720	Потому что это был день...
